(KEYFUNCTION),(KEYPARAMINDEX),(CONVERTRULE),(ASSISTRULE),(COMBINERULE),(CONSTRUCTASSISTBEH),(CONSTRUCTBEHAVIOR),(TYPE)
CreateThread,05|06||,06|retValue||,NULL,NULL,06|05|Handle||,thread_create,3
CreateToolhelp32Snapshot,00||,00|dwFlags||,NULL,NULL,NULL,snapshot_create,3
DeleteService,00|01||,01|retValueBOOL||,00|Handle||,NULL,NULL,service_delete,3
DuplicateHandle,01|03||,01|defHandle||,01|Handle||,NULL,03|01|Handle||,NULL,3
EnterCriticalSection,00||,NULL,NULL,NULL,NULL,NULL,3
EnumProcesses,NULL,NULL,NULL,NULL,NULL,process_travers,3
EnumProcessModules,00||,NULL,00|Handle||,NULL,NULL,process_module_enum,3
ExitProcess,00||,NULL,NULL,NULL,NULL,process_exit,3
ExitThread,00||,NULL,NULL,NULL,NULL,thread_exit,3
FreeLibrary,00||,NULL,00|Handle||,NULL,NULL,library_free,3
GetCommandLine,NULL,NULL,NULL,NULL,NULL,commandline_get,3
GetCurrentProcess,NULL,NULL,NULL,NULL,NULL,currentprocess_get,3
GetModuleFileName,00||,NULL,00|Handle||,NULL,NULL,modulefilename_get,3
GetModuleHandle,00|01||,NULL,NULL,NULL,01|00|Handle||,NULL,3
GetProcAddress,00|01||,NULL,00|Handle||,NULL,NULL,proc_address_get,3
GetThreadContext,00||,NULL,00|Handle||,NULL,NULL,thread_context_get,3
GetThreadPriority,00||,NULL,00|Handle||,NULL,NULL,thread_priority_get,3
GetWindowThreadProcessId,NULL,NULL,NULL,NULL,NULL,windowthreadprocessid_get,3
InitializeCriticalSection,00||,NULL,NULL,NULL,NULL,NULL,3
LeaveCriticalSection,00||,NULL,NULL,NULL,NULL,NULL,3
LoadLibrary,00|01||,01|retValue||,NULL,NULL,01|00|Handle||,dll_load,3
LoadLibraryEx,00|03||,03|retValue||,NULL,NULL,03|00|Handle||,dll_load,3
LookupPrivilegeValue,00|01|03||,03|retValueBOOL||,NULL,NULL,NULL,privilege_query,3
MapViewOfFile,00||,NULL,00|Handle||,NULL,NULL,file_mapview,3
MapViewOfFileEx,00||,NULL,00|Handle||,NULL,NULL,file_mapview,3
